Herbicide,Crop,Block,CropBiomass,col,row
Check,soyabean,1,199.0831,1,1
rimsulfuron,soyabean,1,225.5651,2,1
Check,sunflower,1,201.2945,1,2
rimsulfuron,sunflower,1,289.6086,2,2
Check,rape,1,156.6739,1,3
rimsulfuron,rape,1,237.9479,2,3
Check,soyabean,2,257.3081,1,5
rimsulfuron,soyabean,2,195.3952,2,5
Check,sunflower,2,358.4951,1,4
rimsulfuron,sunflower,2,494.3743,2,4
Check,rape,2,111.122,1,6
rimsulfuron,rape,2,168.888,2,6
Check,soyabean,3,345.5538,1,9
rimsulfuron,soyabean,3,257.1271,2,9
Check,sunflower,3,435.2,1,7
rimsulfuron,sunflower,3,396.6772,2,7
Check,rape,3,217.0091,1,8
rimsulfuron,rape,3,363.9205,2,8
Check,soyabean,4,210.8574,1,11
rimsulfuron,soyabean,4,137.0862,2,11
Check,sunflower,4,326.9914,1,12
rimsulfuron,sunflower,4,179.804,2,12
Check,rape,4,169.7778,1,10
rimsulfuron,rape,4,134.0641,2,10
