"block","x1","x2","x3","x4","ave","logSD"
"1",-1,-1,-1,-1,367,72
"1",1,-1,-1,-1,369,72
"1",-1,1,-1,-1,374,74
"1",1,1,-1,-1,370,79
"1",-1,-1,1,-1,372,72
"1",1,-1,1,-1,355,81
"1",-1,1,1,-1,397,72
"1",1,1,1,-1,377,99
"1",-1,-1,-1,1,350,90
"1",1,-1,-1,1,373,86
"1",-1,1,-1,1,358,92
"1",1,1,-1,1,363,112
"1",-1,-1,1,1,344,76
"1",1,-1,1,1,355,69
"1",-1,1,1,1,370,91
"1",1,1,1,1,362,71
"1",0,0,0,0,377,51
"1",0,0,0,0,375,74
"2",-2,0,0,0,361,111
"2",2,0,0,0,364,93
"2",0,-2,0,0,355,100
"2",0,2,0,0,373,80
"2",0,0,-2,0,361,71
"2",0,0,2,0,360,98
"2",0,0,0,-2,380,69
"2",0,0,0,2,360,74
"2",0,0,0,0,370,86
"2",0,0,0,0,368,74
"2",0,0,0,0,369,89
"2",0,0,0,0,366,76
