"block","cv","stand","yield"
"1","CNFP8018",95,1587.5
"1","CNFP8019",124,2012.5
"1","CNFP8020",106,1975
"1","CNFP8021",92,1837.5
"1","CNFP8022",101,1825
"1","CNFP8023",98,2250
"1","GBrilhante",103,2112.5
"2","CNFP8018",103,2412.5
"2","CNFP8019",114,2075
"2","CNFP8020",116,1787.5
"2","CNFP8021",101,2137.5
"2","CNFP8022",115,2100
"2","CNFP8023",112,2062.5
"2","GBrilhante",108,2137.5
"3","CNFP8018",91,2100
"3","CNFP8019",106,2087.5
"3","CNFP8020",111,2225
"3","CNFP8021",90,2050
"3","CNFP8022",98,1375
"3","CNFP8023",92,1950
"3","GBrilhante",86,2450
"4","CNFP8018",90,1912.5
"4","CNFP8019",88,1862.5
"4","CNFP8020",101,1950
"4","CNFP8021",118,2587.5
"4","CNFP8022",92,1450
"4","CNFP8023",77,1637.5
"4","GBrilhante",92,2237.5
