plot,herbicide_dose,fertilizer,rep,yield
1,0,1,1,13.14061197
2,100,1,1,10.96757224
3,200,1,1,6.724321699
4,0,2,1,69.95092909
5,100,2,1,44.42165022
6,200,2,1,20.85886896
7,0,3,1,12.32723312
8,100,3,1,10.08317181
9,200,3,1,4.711037715
10,0,4,1,-88.54904022
11,100,4,1,65.25005128
12,200,4,1,34.5205319
13,0,1,2,13.73212581
14,100,1,2,7.964402628
15,200,1,2,9.316990774
16,0,2,2,63.73948102
17,100,2,2,44.751121
18,200,2,2,22.68868217
19,0,3,2,14.53101921
20,100,3,2,12.71842571
21,200,3,2,6.080313662
22,0,4,2,90.09578657
23,100,4,2,62.7120962
24,200,4,2,27.75833754
25,0,1,3,21.46710216
26,100,1,3,10.51501556
27,200,1,3,7.279561004
28,0,2,3,62.12083395
29,100,2,3,41.56579344
30,200,2,3,24.32065785
31,0,3,3,8.968217477
32,100,3,3,10.22279005
33,200,3,3,6.058003028
34,0,4,3,95
35,100,4,3,59.52783578
36,200,4,3,29.81713331
